text,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
"Semua makanannya enak, apalagi baksonya, tempatnya bersih dan luas, pelayanannya juga cepat, best 👍💯",1,0,0,0,0,0,1,0,0,1,0,0,0
"Tempat duduk banyak, tapi layanan kasir untuk memesan cuma satu org doang, antriannya barbar panjang",0,0,0,0,0,0,1,0,0,0,1,0,0
"Seporsi 39rb, cm dpt 1bakso besar, blm mnm y",0,1,0,0,0,0,0,0,0,0,0,0,1
"tempat mbakso yang recommended banyak pilihan menunya, kuah merconya beuhh menggugah selera, harga terjangkauu tersedia es teler berbagai varian, disediakan ruangan ber ac",1,0,0,1,0,0,1,0,0,0,0,0,1
"Bakso & mi ayam enak, tidak menunggu lama, ada ruangan ber AC, pokok e well",1,0,0,0,0,0,1,0,0,0,0,0,1
tempat nyaman dan bersih. mkanan enak enak lengkap,1,0,0,0,0,0,1,0,0,0,0,0,0
"Tidak Ada istimewanya Sama sekali, biasa saja, Harganya saja yg Mahal. Jauh lebih enak zona bakso, no debat dah, cukup sekali Coba saja biar gak penasaran, tapi ya Mahal ini. Gak tahu juga kenapa kok bisa rame, aneh emang.",0,0,0,0,1,0,0,0,0,0,0,0,1
Bakso dan sup sapi enak . Puas dengan porsinya. Mantap,1,0,0,0,0,0,0,0,0,0,0,0,0
"Biasa aja y, cuman beda bentuk aja baksonya , cukup sekali 😁",0,0,1,0,0,0,0,0,0,0,0,0,0
"Makanan nya lengkap, varian bakso nya lengkap sekali, parkiran luas, makanan disajikan dgn cepat, mantap bakso pajero!!!",1,0,0,0,0,0,1,0,0,1,0,0,0
Ternyata rasa kuah dan baso yang sesuai dan selama ini dicari ada disini😆🤣🤣 dramatis bgt saking enaknya.. kuahnya pedes tapi gak pahang gak pait terus basonya mateng tapi renyah gimana gtu. Pokoknya suka bnget plisss mau lagii,1,0,0,0,0,0,0,0,0,0,0,0,0
"Best makanannya, smoga tempatnya upgrde biar ga sumuk :)",1,0,0,0,0,0,0,0,0,0,0,0,1
"Pelayanan cepat padahal di jam makan, dan makanannya memuaskan",1,0,0,0,0,0,0,0,0,1,0,0,0
i love bakso bakarnya very muchhh,1,0,0,0,0,0,0,0,0,0,0,0,0
"baksonya endul, pedes segerr , servicenya cepat dan ramah.",1,0,0,0,0,0,0,0,0,0,0,0,0
First time belum coba tapi terlihat enak nyam nyamm,1,0,0,0,0,0,0,0,0,0,0,0,1
