token,true_tag,pred_tag,error_type
",",O,I-PRODUCT,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
selain,B-PRODUCT,I-PLACE,Label Error
itu,I-PRODUCT,I-PLACE,Label Error
banyak,I-PRODUCT,I-PLACE,Label Error
",",I-PRODUCT,O,Entity vs O Error
pelayanan,B-PROMOTION,O,Entity vs O Error
sangat,I-PROMOTION,O,Entity vs O Error
baik,I-PROMOTION,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
dapat,I-PRODUCT,O,Entity vs O Error
rekomen,I-PRODUCT,O,Entity vs O Error
dari,I-PRODUCT,O,Entity vs O Error
teman,I-PRODUCT,O,Entity vs O Error
juga,I-PRODUCT,O,Entity vs O Error
mantabb,I-PRODUCT,O,Entity vs O Error
Oke,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Suasananya,B-PLACE,I-PLACE,Boundary Error
oke,I-PLACE,I-PRODUCT,Label Error
ngga,I-PLACE,I-PRODUCT,Label Error
tempat,B-PLACE,I-PLACE,Boundary Error
service,B-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
menu,B-PRODUCT,O,Entity vs O Error
pedes,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
hanya,B-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
.,B-PRODUCT,I-PRODUCT,Boundary Error
sejam,O,I-PROMOTION,Entity vs O Error
Bukan,O,I-PROMOTION,Entity vs O Error
masalah,O,I-PROMOTION,Entity vs O Error
estimasi,O,I-PROMOTION,Entity vs O Error
juga,O,I-PROMOTION,Entity vs O Error
tapi,O,I-PROMOTION,Entity vs O Error
keduluan,O,I-PROMOTION,Entity vs O Error
nyampe,O,I-PROMOTION,Entity vs O Error
ngomongnya,O,I-PROMOTION,Entity vs O Error
Tcih,O,I-PROMOTION,Entity vs O Error
Salah,O,I-PRODUCT,Entity vs O Error
satu,O,I-PRODUCT,Entity vs O Error
resto,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
yang,O,I-PRODUCT,Entity vs O Error
terkenal,O,I-PRODUCT,Entity vs O Error
di,O,I-PRODUCT,Entity vs O Error
Yogyakarta,O,I-PRODUCT,Entity vs O Error
Banyak,O,I-PRODUCT,Entity vs O Error
pilihan,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
makanan,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
berbagai,O,I-PRODUCT,Entity vs O Error
macam,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
mie,O,I-PRODUCT,Entity vs O Error
ayam,O,I-PRODUCT,Entity vs O Error
.,O,I-PRODUCT,Entity vs O Error
Pengunjung,O,I-PRODUCT,Entity vs O Error
datang,O,I-PRODUCT,Entity vs O Error
langsung,O,I-PRODUCT,Entity vs O Error
ambil,O,I-PRODUCT,Entity vs O Error
buku,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
+,O,I-PRODUCT,Entity vs O Error
kertas,O,I-PRODUCT,Entity vs O Error
pilihan,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
kemudian,O,I-PRODUCT,Entity vs O Error
cari,O,I-PRODUCT,Entity vs O Error
saya,O,I-PRODUCT,Entity vs O Error
pilih,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
